NO, DPSI, XMLFileCount, ImageCount, CreatedDate, UpdatedDate 
1,02DW,4069,4,11-05-2018 19:30:34,11-05-2018 19:30:34
2,02EC,19360,0,11-05-2018 19:30:34,11-05-2018 19:30:34
3,02ES,35232,827,11-05-2018 19:30:34,11-05-2018 19:30:34
4,02FC,1631,0,11-05-2018 19:30:34,11-05-2018 19:30:34
5,02FE,3980,1878,11-05-2018 19:30:34,11-05-2018 19:30:34
6,02FF,3592,55,11-05-2018 19:30:34,11-05-2018 19:30:34
7,02FU,4126,176,11-05-2018 19:30:34,11-05-2018 19:30:34
8,02G4,14755,913,11-05-2018 19:30:34,11-05-2018 19:30:34
9,02YM,657,23,11-05-2018 19:30:34,11-05-2018 19:30:34
10,03Y4,8536,73,11-05-2018 19:30:34,11-05-2018 19:30:34
11,042B,9106,0,11-05-2018 19:30:34,11-05-2018 19:30:34
12,07G5,17663,36,11-05-2018 19:30:34,11-05-2018 19:30:34
13,07GC,13934,60,11-05-2018 19:30:34,11-05-2018 19:30:34
14,07GE,6625,46,11-05-2018 19:30:34,11-05-2018 19:30:34
15,0CWU,846,9,11-05-2018 19:30:34,11-05-2018 19:30:34
16,0CWW,835,36,11-05-2018 19:30:34,11-05-2018 19:30:34
17,0CWX,313,0,11-05-2018 19:30:34,11-05-2018 19:30:34
18,0CWY,806,0,11-05-2018 19:30:34,11-05-2018 19:30:34
19,0CWZ,877,0,11-05-2018 19:30:34,11-05-2018 19:30:34
20,0KBL,42130,40,11-05-2018 19:30:34,11-05-2018 19:30:34
21,0L3S,124,3,11-05-2018 19:30:34,11-05-2018 19:30:34
22,0MQW,6952,0,11-05-2018 19:30:34,11-05-2018 19:30:34
23,0O30,1402,207,11-05-2018 19:30:34,11-05-2018 19:30:34
24,0PV8,582,3,11-05-2018 19:30:34,11-05-2018 19:30:34
25,0SX4,639,77,11-05-2018 19:30:34,11-05-2018 19:30:34
26,0T2S,25119,10,11-05-2018 19:30:34,11-05-2018 19:30:34
27,0WCQ,11744,7,11-05-2018 19:30:34,11-05-2018 19:30:34
28,02E1,910,0,11-05-2018 19:30:34,11-05-2018 19:30:34
29,02EF,277,0,11-05-2018 19:30:34,11-05-2018 19:30:34
30,041C,142,0,11-05-2018 19:30:34,11-05-2018 19:30:34
31,04LF,3332,0,11-05-2018 19:30:34,11-05-2018 19:30:34
32,057D,445,0,11-05-2018 19:30:34,11-05-2018 19:30:34
33,07G6,4651,0,11-05-2018 19:30:34,11-05-2018 19:30:34
34,07G9,2187,0,11-05-2018 19:30:34,11-05-2018 19:30:34
35,07GD,1281,0,11-05-2018 19:30:34,11-05-2018 19:30:34
36,0C3C,2174,0,11-05-2018 19:30:34,11-05-2018 19:30:34
37,0GNE,121063,0,11-05-2018 19:30:34,11-05-2018 19:30:34
